1005,塩,NULL
1015,花,NULL
1030,藤,NULL
1046,立,NULL
1052,丹,NULL
1052,沖,NULL
1058,旭,NULL
1071,ビ,NULL
1071,太,NULL
1077,門,NULL
1077,今,NULL
1089,間,NULL
1102,み,NULL
1123,九,NULL
1138,那,NULL
1146,明,NULL
1166,入,NULL
1182,梨,NULL
1201,稲,NULL
1226,赤,NULL
1250,若,NULL
1253,州,NULL
1264,池,NULL
1271,之,NULL
1291,３,NULL
1300,出,NULL
1311,土,NULL
1311,軒,NULL
1314,波,NULL
1316,幌,NULL
1320,四,NULL
1322,阿,NULL
1345,関,NULL
1359,塚,NULL
1360,ワ,NULL
1366,米,NULL
1384,羽,NULL
1385,ン,NULL
1390,仙,NULL
1390,港,NULL
1404,保,NULL
1407,天,NULL
1434,国,NULL
1460,ル,NULL
1516,七,NULL
1536,丘,NULL
1539,清,NULL
1551,群,NULL
1566,須,NULL
1575,五,NULL
1584,十,NULL
1586,御,NULL
1614,央,NULL
1616,香,NULL
1619,郷,NULL
1626,一,NULL
1642,路,NULL
1645,幡,NULL
1678,２,NULL
1707,泉,NULL
1711,子,NULL
1721,方,NULL
1735,媛,NULL
1744,金,NULL
1761,別,NULL
1764,タ,NULL
1774,地,NULL
1846,滋,NULL
1855,加,NULL
1879,宇,NULL
1898,児,NULL
1904,掲,NULL
1905,載,NULL
1922,安,NULL
1930,以,NULL
1957,代,NULL
1962,１,NULL
1982,倉,NULL
1995,栃,NULL
2009,部,NULL
2021,に,NULL
2031,越,NULL
2039,徳,NULL
2106,多,NULL
2135,横,NULL
2149,里,NULL
2172,瀬,NULL
2182,坂,NULL
2186,生,NULL
2200,歌,NULL
2207,ケ,NULL
2208,通,NULL
2215,橋,NULL
2224,、,NULL
2261,浦,NULL
2281,宿,NULL
2285,白,NULL
2288,沼,NULL
2334,取,NULL
2336,ノ,NULL
2374,台,NULL
2376,常,NULL
2414,な,NULL
2419,形,NULL
2450,合,NULL
2460,ー,NULL
2463,鳥,NULL
2494,久,NULL
2517,尾,NULL
2609,分,NULL
2675,の,NULL
2688,河,NULL
2715,根,NULL
2775,馬,NULL
2781,重,NULL
2821,階,NULL
2833,が,NULL
2866,水,NULL
2928,前,NULL
2945,熊,NULL
2952,秋,NULL
3002,鹿,NULL
3017,寺,NULL
3024,場,NULL
3028,条,NULL
3096,江,NULL
3097,埼,NULL
3112,吉,NULL
3140,見,NULL
3211,茨,NULL
3223,い,NULL
3282,平,NULL
3283,良,NULL
3322,手,NULL
3471,青,NULL
3477,美,NULL
3520,口,NULL
3554,豊,NULL
3565,名,NULL
3571,古,NULL
3579,静,NULL
3751,伊,NULL
3842,内,NULL
3872,玉,NULL
3914,岩,NULL
3935,広,NULL
3996,森,NULL
4028,八,NULL
4052,村,NULL
4120,日,NULL
4192,阜,NULL
4194,佐,NULL
4211,谷,NULL
4336,浜,NULL
4486,戸,NULL
4542,沢,NULL
4602,岐,NULL
4841,葉,NULL
4844,屋,NULL
4957,奈,NULL
5286,和,NULL
5296,阪,NULL
5363,庫,NULL
5400,兵,NULL
5414,神,NULL
5490,千,NULL
5638,石,NULL
5775,松,NULL
5879,（,NULL
5879,）,NULL
6016,賀,NULL
6137,小,NULL
6163,木,NULL
6461,富,NULL
6655,潟,NULL
6666,井,NULL
6782,津,NULL
7202,三,NULL
7444,崎,NULL
7518,本,NULL
7643,長,NULL
8031,高,NULL
8153,原,NULL
8440,宮,NULL
8926,下,NULL
9150,道,NULL
9271,城,NULL
9616,愛,NULL
9767,海,NULL
10038,南,NULL
10369,中,NULL
10556,知,NULL
10565,上,NULL
11537,西,NULL
12286,福,NULL
12885,野,NULL
13008,二,NULL
14282,新,NULL
14453,東,NULL
15036,岡,NULL
17289,都,NULL
17323,北,NULL
17811,島,NULL
18562,大,NULL
19347,京,NULL
20358,川,NULL
20601,区,NULL
22364,田,NULL
24584,郡,NULL
27301,山,NULL
76088,町,NULL
98195,市,NULL
100797,県,NULL
